$1ா,(.)£,ி,¤,ீ,¦,ு,§,ூ,¨,$1ெ,ª(.),$1ே,«(.)
$1ை,¬(.),கி,A,கீ,W,க்,‚,க,è,கு,°,கூ,Ã
$1ௌ,ª(.)÷,ஙி,B,ஙீ,X,ங்,ƒ,ங,é,ஙு,±,ஙூ,Ä
அ,Ü,சி,C,சீ,Y,ச்,„,ச,ê,சு,²,சூ,Å
ஆ,Ý,ஜி,T,ஜீ,p,ஜ்,x,ஜ,ü,ஜு,ü§,ஜூ,ü¨
இ,Þ,ஞி,D,ஞீ,Z,ஞ்,…,ஞ,ë,ஞு,³,ஞூ,Æ
ஈ,ß,டி,®,டீ,¯,ட்,†,ட,ì,டு,´,டூ,Ç
உ,à,ணி,E,ணீ,a,ண்,‡,ண,í,ணு,µ,ணூ,È
ஊ,á,தி,F,தீ,b,த்,ˆ,த,î,து,¶,தூ,É
எ,â,நி,G,நீ,c,ந்,‰,ந,ï,நு,¸,நூ,Ë
ஏ,ã,னி,Q,னீ,m,ன்,¡,ன,ù,னு,Â,னூ,Û
ஐ,ä,பி,H,பீ,d,ப்,Š,ப,ð,பு,¹,பூ,Ì
ஒ,å,மி,I,மீ,e,ம்,‹,ம,ñ,மு,º,மூ,Í
ஓ,æ,யி,J,யீ,f,ய்,Œ,ய,ò,யு,»,யூ,Î
ஔ,å÷,ரி,K,ரீ,g,ர்,˜,ர,ó,ரு,¼,ரூ,Ï
ஃ,ç,றி,P,றீ,l,ற்,Ÿ,ற,ø,று,Á,றூ,Ú
க்ஷ,þ,லி,L,லீ,h,ல்,™,ல,ô,லு,½,லூ,Ö
௧,,ளி,O,ளீ,k,ள்,œ,ள,÷,ளு,À,ளூ,Ù
௨,,ழி,N,ழீ,j,ழ்,›,ழ,ö,ழு,¿,ழூ,Ø
௩,,வி,M,வீ,i,வ்,š,வ,õ,வு,¾,வூ,×
௪,,ஶி,,ஶீ,,ஶ்,,ஶ,,ஶு,,ஶூ,
௫,,ஷி,S,ஷீ,o,ஷ்,w,ஷ,û,ஷு,û§,ஷூ,û¨
௬,,ஸி,R,ஸீ,n,ஸ்,v,ஸ,ú,ஸு,ú§,ஸூ,ú¨
௭,,ஹி,U,ஹீ,q,ஹ்,y,ஹ,ý,ஹு,ý§,ஹூ,ý¨
௮,,க்ஷி,V,க்ஷீ,r,க்ஷ,z,க்ஷ,þ,க்ஷு,þ§,க்ஷூ,þ¨
௯,,௴,t,ஸ்ரீ,ÿ,௹,–,௶,Ð,௺,−,௷,Ñ
௰,,௵,u,௳,s,“,ÔÔ,”,ÕÕ,',Ô,',Õ
