ver=1#Action,ReplaceWord,GrepPrefix_find,GrepSuffix_find,GrepPrefix_replace,GrepSuffix_replace,IgnoreGrep_FindPrefix,IgnoreGrep_FindSuffix,IgnoreGrep_ReplacePrefix,IgnoreGrep_ReplaceSuffix,tooltipText_Desc,find_1,find_2,find_3
NoPrompt,ஒரு,, ([^அஆஇஈஉஊஎஏஐஒஓஔ]),, $1,FALSE,FALSE,FALSE,FALSE,"	வருமொழி உயிர்மெய்யெழுத்தாக தொடங்கினால், ஒரு என்று வரும்.
		உதாரணம் 	ஓர் ஊரில் ஒரு பண்டிதன் இருந்தான்.",ஓர்,,
NoPrompt,ஓர்,, ([அஆஇஈஉஊஎஏஐஒஓஔ]),, $1,FALSE,FALSE,FALSE,FALSE,"ஓர்/ஒரு
	வருமொழி உயிரெழுத்தாக தொடங்கினால், ஓர் என்று வரும்.
",ஒரு,,
NoPrompt,அஃது,, ([அஆஇஈஉஊஎஏஐஒஓஔ]),, $1,FALSE,FALSE,FALSE,FALSE,"அஃது/அது
	வருமொழி உயிரெழுத்தாக தொடங்கினால், ""அஃது"" வரும். (அஃது இல்லை.)
",அது,,
NoPrompt,அது,, ([^அஆஇஈஉஊஎஏஐஒஓஔ]),, $1,FALSE,FALSE,FALSE,FALSE,"	வருமொழி உயிர்மெய்யெழுத்தாக தொடங்கினால், ""அது"" வரும். (அது போயிற்று.)",அஃது,,
NoPrompt,,(\x{0bca})(ரு) ([அஆஇஈஉஊஎஏஐஒஓஔ]),,,\x{0BCB}ர் $3,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,(\x{0bcb})(ர்) ([^அஆஇஈஉஊஎஏஐஒஓஔ]),,,\x{0BCA}ரு $3,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,யுக,(‬\S‭+)(‬‬,\S‭+),,,FALSE,FALSE,FALSE,FALSE,,யுக,,
NoPrompt,,"(\S+(?<=\x{0bc1}ம்)),( (\S+\x{0bc1}ம்))",,,$1 $2,FALSE,FALSE,FALSE,FALSE,,,,
Prompt,,(\S+)([கசதப])(\x{0BCD})( )([^கசதப]),,,$1$4$5,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,"(‬\S‭+(?<=‬\x{0bcb‭})),( (‬\S‭+‬\x{0bcb‭}))[, ]‬",,,$1$2‭ ‭,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,([ \r]|^)(”)(\S.+)(” ),,,$1“$3$4,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,([ \r]|^)(“)(\S.+)(“ ),,,$1$2$3” ,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,([ \r]|^)(’)(\S.+)(’ ),,,$1‘$3$4,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,([ \r]|^)(‘)(\S.+)(‘ ),,,$1$2$3’ ,FALSE,FALSE,FALSE,FALSE,,,,
Prompt,,‭(‬\S‭+‬\x{0BC8‭})(‬ப‭?‬\x{0BCD‭}?)(‬ப‭[‬\x{0BCA‭}‬\x{0BCB‭}])‬,,,$1$2 $3,FALSE,FALSE,FALSE,FALSE,,,,
NoPrompt,,(\S+)(,),,$1 $2,FALSE,FALSE,FALSE,FALSE,,வேண்டும்,,
Prompt,,"(\S{3,15})(",),,$‬1 $2,FALSE,FALSE,FALSE,FALSE,,கொண்ட,,
Prompt,,"(\S{3,15})(",[^\x{0bca}\x{0bcb}\x{0bc7}\x{0bc8}\x{0bc2}\x{0bc6}\x{0bbe}\x{0bbf}\x{0bc0}\x{0bc1}\x{0bcd}\x{0bcc}]\S+),,$‬1 $2,FALSE,FALSE,FALSE,FALSE,,லோக,,
Prompt,ஆகையால்,"([.,;?:])( )","[.?,;: ]",;$2,", ",FALSE,FALSE,FALSE,FALSE,,ஆகையால்,,
Prompt,ஏனெனில்,"([.,;?:])( )","[.?,;: ]",;$2,", ",FALSE,FALSE,FALSE,FALSE,,ஏனெனில்,,
Prompt,அருவவாதிகள்,,,,,TRUE,TRUE,TRUE,TRUE,,அருவ வாதிகள்,,
